"Статус","Количество"
"Active","31"
"Accepted","51"
"Deferred","37"
"Final","274"
"Provisional","0"
"Rejected","122"
"Superseded","20"
"Withdrawn","56"
"Draft","25"
"April Fool!","1"
"Total","617"
